TITLE,2010_Average,2011_Average,2012_Average,2013_Average,2014_Average,2015_Average,2016_Average,2017_Average,2018_Average,2019_Average,2020_Average,2021_Average,2022_Average,2023_Average,2024_Average
        Total State and Local Government,183475.0,182225.0,181083.33,182950.0,186158.33,190175.0,195450.0,199416.67,200966.67,201025.0,188466.67,190250.0,199633.33,204191.67,198215.97
          State Government,42541.67,42925.0,42583.33,43075.0,44116.67,45650.0,47558.33,49291.67,50658.33,50433.33,48225.0,51025.0,55700.0,58191.67,53195.14
          State Government Educational Services,27866.67,28183.33,27900.0,28558.33,29300.0,30391.67,31566.67,32550.0,33550.0,32725.0,30466.67,31983.33,34641.67,36491.67,34484.03
            State Government Excluding Education,14675.0,14741.67,14683.33,14516.67,14816.67,15258.33,15991.67,16741.67,17108.33,17708.33,17758.33,19041.67,21058.33,21700.0,18711.11
          Local Government,140933.33,139300.0,138500.0,139875.0,142041.67,144525.0,147891.67,150125.0,150308.33,150591.67,140241.67,139225.0,143933.33,146000.0,145020.83
          Local Government Educational Services,77283.33,77091.67,75675.0,75708.33,76458.33,78025.0,80041.67,80908.33,80508.33,80433.33,73516.67,72266.67,75866.67,78241.67,78259.72
          Local Government excluding Educational Services,63650.0,62208.33,62825.0,64166.67,65583.33,66500.0,67850.0,69216.67,69800.0,70158.33,66725.0,66958.33,68066.67,67758.33,66761.11
          County Government,19550.0,18833.33,19016.67,19391.67,20116.67,20191.67,20375.0,20741.67,20725.0,20308.33,20858.33,21041.67,21941.67,20850.0,20692.36
          City Government,18033.33,17591.67,17391.67,17541.67,17966.67,18333.33,18791.67,19016.67,18991.67,19308.33,18783.33,18816.67,19200.0,19566.67,18927.08
        Special Districts plus Tribes,26050.0,25783.33,26416.67,27233.33,27500.0,27975.0,28683.33,29458.33,30083.33,30541.67,27083.33,27100.0,26925.0,27341.67,27140.28
